Date,T_Max,T_Min,RH_1,RH_2,Wind_speed,sunshine_hours,rainfall,evaporation
1/1/2016,16.8,12.4,100,98,13.75,0,8.5,1.16
1/2/2016,16.2,11.4,98,98,6.66,3,2.3,0.97
1/3/2016,18.8,12,92,98,5.92,5.8,0,1.58
1/4/2016,19.8,12.6,94,94,4.63,7.1,0,1.84
1/5/2016,20.2,14.8,96,74,5.52,10.4,0.2,1.47
1/6/2016,20,14.2,92,92,7.04,10.1,21.6,1.01
1/7/2016,16.6,13.6,98,98,5.56,10.7,2.5,0.11
1/8/2016,18.4,12.6,100,98,3.82,11,0,0.73
1/9/2016,19.8,12.6,85,98,2.65,11,0,0.4
1/10/2016,19,14.4,87,96,3.24,10,0.1,1.67
1/11/2016,19.2,11.4,94,98,3.25,10.6,0.4,0.26
1/12/2016,21.4,10,94,86,3.28,10.9,0,2.64
1/13/2016,19.4,11.4,61,87,3.13,10.7,0,4.39
1/14/2016,20.6,7.4,86,86,2.96,7.8,0,1.58
1/15/2016,20.5,7.8,74,94,2.97,8.6,0,2.73
1/16/2016,20,10,68,85,4.62,7.9,0,3.65
1/17/2016,20.4,9.6,73,86,3.31,11,0,2.35
1/18/2016,21,12,71,84,3.07,9.5,0,3.64
1/19/2016,21.6,10.6,74,78,2.05,7.9,0,3.02
1/20/2016,22.2,12,68,87,1.63,5.3,0,2.1
1/21/2016,22.4,10.6,76,91,1.56,0.3,0,1.35
1/22/2016,21,11.2,70,96,2.47,0,0,4.41
1/23/2016,22.2,14.6,90,78,3.98,0,3.7,0.53
1/24/2016,19.2,12.6,96,98,1.66,0,13.2,1.12
1/25/2016,18.8,13.6,96,94,2.91,0,0,1.46
1/26/2016,20.2,10.4,92,89,2.5,0,0,2.96
1/27/2016,20.2,7.4,72,89,1.69,0.5,0,2.96
1/28/2016,20.8,10.2,71,81,2.62,1.6,0,4.04
1/29/2016,21.6,10,54,70,2.61,5.4,0,4.95
1/30/2016,19.6,9.4,71,75,2.04,0,0,0.85
1/31/2016,19.2,10.8,75,89,5.32,5.5,0,3.63
2/1/2016,20,11.8,80,71,11.17,11.7,0,6.05
2/2/2016,19,9,73,72,9.52,6.3,0,4.84
2/3/2016,19.6,8.4,55,67,6.11,11.5,0,4.59
